Date,open,high,low,close,volume,Ticker
10/03/2023 5:30,441.0,442.9,439.25,439.75,7481883,ITC
10/04/2023 5:30,439.75,441.7,433.3,436.1,13396709,ITC
10/05/2023 5:30,440.0,440.5,435.05,436.05,10030257,ITC
10/06/2023 5:30,437.85,443.6,436.65,442.15,8418580,ITC
10/09/2023 5:30,440.95,443.2,437.25,440.45,5611154,ITC
10/10/2023 5:30,440.45,444.85,440.45,444.4,5014758,ITC
10/11/2023 5:30,447.2,449.45,444.8,448.25,7651513,ITC
10/12/2023 5:30,449.65,452.5,446.15,450.7,11774487,ITC
10/13/2023 5:30,449.85,451.8,447.0,448.35,7632483,ITC
10/16/2023 5:30,448.0,451.0,446.2,448.95,4214958,ITC
10/17/2023 5:30,449.8,454.5,449.0,453.45,6936218,ITC
10/18/2023 5:30,454.25,458.2,451.0,451.65,6894947,ITC
10/19/2023 5:30,449.75,454.9,446.85,450.4,9465463,ITC
10/20/2023 5:30,445.0,449.0,437.35,438.3,13020371,ITC
10/23/2023 5:30,438.0,439.95,433.1,435.9,7275471,ITC
10/25/2023 5:30,436.9,438.0,427.05,432.7,10889221,ITC
10/26/2023 5:30,429.55,436.6,429.55,434.35,18801214,ITC
10/27/2023 5:30,434.35,436.8,432.2,433.75,13132487,ITC
10/30/2023 5:30,434.55,437.15,428.35,430.45,7618033,ITC
10/31/2023 5:30,430.0,433.35,427.9,428.4,8620154,ITC
11/01/2023 5:30,430.0,431.1,425.5,428.1,7990245,ITC
11/02/2023 5:30,430.05,432.7,428.65,431.15,8152031,ITC
11/03/2023 5:30,432.8,434.4,431.1,433.25,13802600,ITC
11/06/2023 5:30,433.5,436.8,432.55,435.35,7308229,ITC
11/07/2023 5:30,434.9,434.9,432.15,432.7,5124012,ITC
11/08/2023 5:30,433.15,437.5,432.3,436.95,6979849,ITC
11/09/2023 5:30,437.8,438.0,433.9,434.4,7785767,ITC
11/10/2023 5:30,434.4,438.0,432.5,436.55,4079205,ITC
11/12/2023 5:30,438.85,439.2,438.0,438.45,1181310,ITC
11/13/2023 5:30,438.4,438.4,435.0,436.0,3744754,ITC
11/15/2023 5:30,438.1,442.5,437.5,441.95,7436428,ITC
11/16/2023 5:30,441.95,444.5,437.6,438.65,10857863,ITC
11/17/2023 5:30,439.25,441.5,438.3,439.25,6655278,ITC
11/20/2023 5:30,439.85,440.3,434.5,436.8,4335388,ITC
11/21/2023 5:30,437.15,439.3,435.5,436.25,5997810,ITC
