Date,open,high,low,close,volume,Ticker
10/03/2023 5:30,1302.15,1302.15,1282.65,1292.45,1282289,SBILIFE
10/04/2023 5:30,1291.6,1297.7,1264.35,1270.55,1139615,SBILIFE
10/05/2023 5:30,1271.0,1282.1,1264.95,1274.45,979561,SBILIFE
10/06/2023 5:30,1276.0,1287.55,1272.0,1282.95,784191,SBILIFE
10/09/2023 5:30,1278.1,1290.75,1272.0,1277.25,1345177,SBILIFE
10/10/2023 5:30,1285.0,1312.6,1279.8,1302.05,1221002,SBILIFE
10/11/2023 5:30,1310.0,1310.95,1291.15,1309.35,1374812,SBILIFE
10/12/2023 5:30,1311.95,1317.4,1300.95,1313.65,726322,SBILIFE
10/13/2023 5:30,1315.85,1329.65,1312.85,1316.45,916350,SBILIFE
10/16/2023 5:30,1319.2,1332.2,1310.55,1322.2,578729,SBILIFE
10/17/2023 5:30,1325.0,1351.1,1325.0,1348.35,1073063,SBILIFE
10/18/2023 5:30,1344.05,1358.6,1339.0,1356.35,454861,SBILIFE
10/19/2023 5:30,1349.0,1353.6,1338.6,1348.15,595436,SBILIFE
10/20/2023 5:30,1340.0,1368.65,1336.5,1362.65,936229,SBILIFE
10/23/2023 5:30,1359.95,1366.55,1329.05,1338.4,976136,SBILIFE
10/25/2023 5:30,1323.05,1346.1,1308.65,1314.15,945901,SBILIFE
10/26/2023 5:30,1315.8,1315.8,1290.75,1305.6,1107874,SBILIFE
10/27/2023 5:30,1307.6,1320.7,1293.65,1302.9,654531,SBILIFE
10/30/2023 5:30,1305.2,1330.7,1305.0,1326.2,1242401,SBILIFE
10/31/2023 5:30,1325.0,1375.4,1319.5,1367.85,2287988,SBILIFE
11/01/2023 5:30,1371.05,1377.95,1332.4,1336.05,968893,SBILIFE
11/02/2023 5:30,1342.0,1357.75,1340.15,1343.5,637519,SBILIFE
11/03/2023 5:30,1344.8,1349.95,1326.1,1329.35,690163,SBILIFE
11/06/2023 5:30,1335.0,1340.7,1323.4,1331.85,377106,SBILIFE
11/07/2023 5:30,1332.5,1344.05,1320.4,1340.85,1038346,SBILIFE
11/08/2023 5:30,1342.15,1349.35,1334.7,1345.5,498283,SBILIFE
11/09/2023 5:30,1345.1,1353.35,1335.45,1350.7,493454,SBILIFE
11/10/2023 5:30,1351.8,1360.0,1341.0,1355.4,639801,SBILIFE
11/12/2023 5:30,1364.5,1370.5,1353.1,1358.85,67960,SBILIFE
11/13/2023 5:30,1351.5,1359.7,1325.0,1328.35,1332535,SBILIFE
11/15/2023 5:30,1348.95,1359.0,1332.05,1357.1,742427,SBILIFE
11/16/2023 5:30,1362.75,1365.1,1348.05,1359.95,577249,SBILIFE
11/17/2023 5:30,1354.0,1434.45,1354.0,1413.95,3192944,SBILIFE
11/20/2023 5:30,1413.95,1420.0,1383.0,1385.3,726211,SBILIFE
11/21/2023 5:30,1389.0,1425.15,1387.1,1423.65,2049132,SBILIFE
11/22/2023 5:30,1425.0,1438.55,1417.35,1430.1,865655,SBILIFE
11/23/2023 5:30,1430.1,1434.4,1406.35,1410.95,549853,SBILIFE
11/24/2023 5:30,1414.0,1418.95,1401.05,1409.7,387896,SBILIFE
11/28/2023 5:30,1409.8,1417.3,1393.1,1412.45,1123470,SBILIFE
11/29/2023 5:30,1415.45,1421.8,1406.0,1407.85,887709,SBILIFE
11/30/2023 5:30,1410.0,1444.2,1409.05,1435.25,3027395,SBILIFE
12/01/2023 5:30,1438.05,1445.0,1420.1,1423.65,808841,SBILIFE
12/04/2023 5:30,1439.9,1458.7,1415.0,1454.0,2078827,SBILIFE
12/05/2023 5:30,1454.0,1472.1,1443.0,1460.95,1932719,SBILIFE
12/06/2023 5:30,1462.0,1462.95,1445.15,1450.7,724418,SBILIFE
12/07/2023 5:30,1456.85,1483.45,1450.1,1455.75,1244939,SBILIFE
12/08/2023 5:30,1455.0,1469.55,1451.55,1465.2,1654799,SBILIFE
12/11/2023 5:30,1465.2,1468.3,1455.0,1460.6,731571,SBILIFE
12/12/2023 5:30,1464.5,1491.9,1459.95,1481.45,1763549,SBILIFE
12/13/2023 5:30,1483.15,1483.15,1460.0,1466.8,2279728,SBILIFE
12/14/2023 5:30,1473.0,1477.6,1454.95,1469.85,2953215,SBILIFE
12/15/2023 5:30,1474.0,1485.0,1448.6,1452.5,1482700,SBILIFE
12/18/2023 5:30,1452.5,1461.4,1441.65,1446.95,1580916,SBILIFE
12/19/2023 5:30,1444.95,1448.0,1419.05,1424.55,1282514,SBILIFE
12/20/2023 5:30,1437.0,1437.0,1404.05,1409.25,1151553,SBILIFE
12/21/2023 5:30,1401.5,1410.3,1379.95,1403.75,1841616,SBILIFE
12/22/2023 5:30,1414.0,1417.7,1387.05,1394.3,1111420,SBILIFE
12/26/2023 5:30,1400.0,1409.15,1387.65,1395.3,875367,SBILIFE
12/27/2023 5:30,1405.0,1424.0,1399.1,1421.35,718369,SBILIFE
12/28/2023 5:30,1428.5,1444.95,1419.2,1435.3,1446654,SBILIFE
12/29/2023 5:30,1433.0,1435.25,1421.05,1432.6,383858,SBILIFE
01/01/2024 5:30,1435.85,1437.6,1425.95,1432.1,158288,SBILIFE
01/02/2024 5:30,1437.0,1449.7,1421.75,1437.65,691712,SBILIFE
01/03/2024 5:30,1430.0,1440.9,1415.6,1422.7,550221,SBILIFE
01/04/2024 5:30,1420.8,1436.6,1415.0,1431.6,938454,SBILIFE
01/05/2024 5:30,1435.9,1468.0,1433.7,1454.15,1258280,SBILIFE
01/08/2024 5:30,1454.15,1460.1,1416.4,1421.05,738502,SBILIFE
01/09/2024 5:30,1429.0,1468.25,1421.0,1449.35,1871763,SBILIFE
