Date,open,high,low,close,volume,Ticker
10/03/2023 5:30,2074.3,2086.3,2052.0,2059.1,543387,TRENT
10/04/2023 5:30,2054.0,2055.95,2007.6,2022.3,551771,TRENT
10/05/2023 5:30,2022.95,2058.15,2022.3,2047.6,461744,TRENT
10/06/2023 5:30,2055.85,2091.9,2050.1,2072.1,444220,TRENT
10/09/2023 5:30,2035.0,2089.45,2032.4,2079.05,487722,TRENT
10/10/2023 5:30,2089.75,2089.75,2047.1,2050.8,351329,TRENT
10/11/2023 5:30,2058.45,2114.8,2055.0,2101.3,729470,TRENT
10/12/2023 5:30,2105.0,2107.8,2070.0,2077.2,285544,TRENT
10/13/2023 5:30,2075.0,2109.7,2071.45,2084.8,321887,TRENT
10/16/2023 5:30,2093.0,2117.0,2080.5,2107.65,446019,TRENT
10/17/2023 5:30,2116.95,2117.6,2073.1,2079.0,373789,TRENT
10/18/2023 5:30,2089.1,2090.4,2031.2,2048.95,432748,TRENT
10/19/2023 5:30,2045.95,2074.0,2020.0,2060.6,350097,TRENT
10/20/2023 5:30,2060.6,2060.6,2024.4,2036.15,353937,TRENT
10/23/2023 5:30,2035.0,2041.15,1980.0,1991.95,488451,TRENT
10/25/2023 5:30,2007.9,2007.9,1973.8,1993.25,512770,TRENT
10/26/2023 5:30,1980.0,2040.95,1945.0,2031.1,966275,TRENT
10/27/2023 5:30,2031.15,2142.95,2031.15,2122.1,999445,TRENT
10/30/2023 5:30,2143.2,2143.2,2072.0,2119.75,483782,TRENT
10/31/2023 5:30,2140.9,2165.0,2119.1,2154.7,749792,TRENT
11/01/2023 5:30,2163.7,2209.3,2148.95,2197.65,1081257,TRENT
11/02/2023 5:30,2210.0,2210.0,2175.0,2189.85,474395,TRENT
11/03/2023 5:30,2195.0,2198.95,2180.0,2196.5,230437,TRENT
11/06/2023 5:30,2196.55,2245.5,2188.65,2233.2,537580,TRENT
11/07/2023 5:30,2234.45,2450.0,2181.7,2424.0,3419427,TRENT
11/08/2023 5:30,2450.0,2503.85,2391.05,2452.85,2652822,TRENT
11/09/2023 5:30,2453.0,2487.25,2438.2,2478.05,684007,TRENT
11/10/2023 5:30,2476.95,2504.15,2454.05,2489.35,644072,TRENT
11/12/2023 5:30,2510.2,2515.0,2491.15,2494.25,75038,TRENT
11/13/2023 5:30,2495.0,2564.0,2485.35,2559.05,1131761,TRENT
11/15/2023 5:30,2579.8,2579.8,2534.85,2553.15,599328,TRENT
11/16/2023 5:30,2556.5,2558.15,2491.4,2544.7,766675,TRENT
11/17/2023 5:30,2547.55,2613.7,2544.75,2576.4,717236,TRENT
